Molecule	Protein	UniProt	Gene	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
5744-12	CA056	Q9BUN1	MENT	3997.9	3651.8	6031.5	2496.7	3357.6	3585.7	3560.4	4810.2	3615.3	3571.2	4080.4	2748.5	3555.9	5052	2740.8	4361.7	3474.2	3173.9	3067	2867.2	5303.2	3712.6	5018	2676.5	3142.4	3737.1	3976.8	3149.4	2872.1	2907.7	2621.5	3375	4062.6	4077.2	3716.4	4456.1	3958.8	3298	3585.5	4390.5
5745-64	PI15	O43692	PI15	3230.9	2965.5	6252.3	3152.5	4046.2	3170.4	3593.6	3618.9	2898.5	2385.6	5038	1723.8	2474	2834.5	2113	7471.4	2244.6	1908	3033.6	1660.4	1717.7	2081.1	4581.5	2202	2497.4	3053.4	3404.9	2800.7	2667.1	3097.5	2264.9	1939.5	2667.6	3333.9	2754.9	3463	3087.9	2692.8	3102.7	3152.9
5748-20	Acid ceramidase	Q13510	ASAH1	1075.2	1106.1	1454	1098.6	991.9	1255	904.3	1162.7	1195.4	1357.4	1592.1	1054.3	961.5	1152.8	587.7	1259.1	1432.3	1127.1	1686.3	875.2	815.2	843.2	780	668.4	787.3	1247.9	1687.6	2089.4	874.6	1056.2	950.8	703.5	906.8	1190.7	840.9	1588.4	666.5	1008.4	1478.4	904.8
5749-53	COL	P04118	CLPS	423.3	288	522.7	450	470.9	274.5	424.4	534	246.4	563.8	325.8	394.4	270.4	447.4	304.2	356.3	338	345.4	268.6	313.5	533.9	522.1	440.4	297.2	304.9	587.5	519.5	279.7	268.1	1218.2	415.9	355.2	251	805	183.5	530.1	203.6	237.8	635.7	334.3
5751-14	HCCR-1	Q6P1Q0	LETMD1	224.9	244.6	440.6	232.7	239.4	265.8	206.8	295	193.3	203	300.9	186.8	326.4	289	194.8	330.2	187.5	225.8	222.2	170.3	198.9	207.8	234.1	204.9	225.6	230.9	308.8	224.4	189.5	210.6	206	228.4	190.4	321.2	169.6	260.5	190.7	240.8	254.1	224.7
5752-63	SUSD3	Q96L08	SUSD3	348.8	348	823.4	326.3	343.7	349.4	311.7	473.7	297.8	315.8	522.7	262.1	321	347.7	266.4	677.6	268.2	271.1	336.8	228.5	290.8	311.2	333	273.9	320.3	388	453.8	322.8	252.3	313.1	333.4	290.2	275.7	398.2	235.9	381.2	288.9	296	354.6	356.4
5753-21	F19A1	Q7Z5A9	FAM19A1	342.2	469	849.4	334.6	571.8	281.1	363.1	568.9	368.7	421.1	487.9	230.2	375.6	475.2	255.6	912.6	283.1	232.9	302.3	331.4	199.7	332.7	734.4	249.5	271.7	332.7	408	299	288.1	408.1	248	329.9	420.7	509	434.4	430.3	538.9	498.5	522.6	453.7
5754-76	INSL6	Q9Y581	INSL6	357.7	367.5	573	334.4	404	362.6	449.4	405.4	321.7	280.9	536.7	277.8	329.5	353.8	282.6	714.6	289.7	333.9	332.6	229.4	270.4	299.1	373.2	311.2	348.8	384	447.8	351.5	272.2	328.6	276.8	301	317.5	418.5	264.2	410	345.4	326.5	350.2	972.2
5755-29	GIP	P09681	GIP	495.1	519.4	886.9	556	834.1	519.5	563.2	577.9	425.9	454.1	711.6	363.2	454.2	509.5	369.1	950.5	433.5	450.3	530.4	334.7	399.6	455.2	539.9	452.4	474.1	506.3	647.7	466.7	517.9	501.2	416.7	471.5	393.5	583.7	372.5	667.6	418	433.4	517.9	474.3
5756-66	PAPP2	Q9BXP8	PAPPA2	876.9	855.3	1690.9	970.2	921.1	1239.7	987.7	1100.1	798.7	691	1498.2	603.4	721.1	935.2	740.9	2586.5	823.9	598.7	858.9	522.8	700.7	773.5	1017.8	695.1	773	937.2	1136.1	1116.8	663.6	743	672.8	853.9	666.5	1085.7	649.9	977.1	5784.3	770.7	860.3	1142.3
5757-45	GNAS3	O95467	GNAS	741.6	678.9	1328.9	632.6	704.5	1020.4	726.1	1568.8	615.6	594.8	1141.2	488.7	602.7	664.1	517.9	1586.7	547.7	484.3	681.5	414.7	549.1	575.4	751.1	555.5	649.8	721.7	942.6	659.2	512.5	590.8	537.8	567.8	562.3	936.3	497.9	822.7	658.5	587.6	703.8	699
5758-49	kallikrein 9	Q9UKQ9	KLK9	1000.6	980.3	1946.7	984.5	1193.2	961.9	923.8	1159.5	900.2	849	1406.9	733.5	809	990.1	649.6	1764.1	730.7	682.8	887.2	600.8	681.3	824.3	1142.3	743.3	839.1	1278.9	1267	918.1	871	853.3	702	717.4	752.3	1192.7	750.5	1881.1	834.5	807.8	1035.2	934.9
5762-35	Sperm-associated antigen 11	Q08648	SPAG11B	1028.5	598.6	951	617.4	755.7	572.2	495.3	642	601.9	537	785	423.8	603.6	575.6	427.1	929.3	476.1	458.9	574.9	1146.7	485.7	570.2	636.5	546.5	533.2	655.2	797.2	631.3	478	574.4	953.1	548.1	482.9	684.1	428.4	994.1	555.6	2119.9	770.5	581.1
5763-67	HBD-4	Q8WTQ1	DEFB104A	465.4	423.2	669.5	518.4	430.6	467.5	463.4	538.3	409.7	385.8	617.8	308	414.2	372.2	326.3	861.1	351.7	440.4	388	250.8	337.1	401.7	425.8	392.3	403.3	560.1	552.3	414.6	327.4	428.3	350.3	375.6	309.1	476	287.7	477.5	389.2	338.7	385.4	453.7
5764-4	GALT2	Q10471	GALNT2	441.6	413.3	733.3	411.5	474.8	417	1393.7	464.2	531.1	332.4	538.4	302.8	352.8	481.2	313.6	700.5	298.5	311.3	428.4	271	320	388.5	457.1	327.6	360.7	416.8	563	351.1	316.1	350.7	329.1	362.1	336.5	513.2	296.2	468.8	340	340.7	431.8	388.7
5765-53	DB121	Q5J5C9	DEFB121	399.3	478.1	983.1	495	679.8	536.1	512.4	680	517.3	502.3	981.1	694.3	482.5	485.6	418	2232	648.6	658.9	882.1	366.9	582.2	458.3	752.5	396.2	444.6	5934.1	804.1	623.4	370.3	410.2	589	403.5	418.1	858.7	1243.5	625	481.4	530.1	710	567.6
5792-8	AFP	P02771	AFP	362.8	435.5	526.3	341.4	382.1	409.4	325.5	362.9	358	318.7	512.7	304	418.4	356	327.2	516.4	318.7	323.4	402	272.4	322.9	373.1	1392	309.8	335.4	454	462.8	866.2	311.4	336.5	436.2	328.4	361.8	409.4	309.7	445.4	278.8	299.1	16324	348.8
5798-3	BID	P55957	BID	1553.4	1240.5	2080.9	1330.6	1367.9	1595.4	1003.2	1634.3	1416.3	1335.8	2105.9	1342.9	1173	1166.8	840.7	2292.9	1299.5	1326.7	2107.4	1727.1	999.8	997.2	1026.4	935.3	1069	1464.1	1870.9	2999.4	1123.2	1253.6	1262.7	1068.7	1260.1	1545	978.4	1874.3	995.6	1362.7	1710.4	1267.6
5801-72	b-NGF	P01138	NGF	696.2	619.7	702.3	473.2	496.3	482.1	350.2	458.8	379.3	426.8	518.2	375.4	461.4	646.1	320.1	528	398.4	475.9	411.2	324.9	436.6	708.3	450.1	367.1	371.3	800.9	734.4	443.3	426.2	461.3	374.7	495.9	356.7	835.4	306.6	817.3	419.8	355.3	464.6	1384.8
5803-24	C3d	P01024	C3	4057.2	2509.9	2366.7	3490.2	3228.8	2380.1	3657.9	2409.4	2023.9	1874.8	2555.2	1772.7	2593.9	2694.8	2018.9	2521	2421.8	2131.5	2965.2	1642	2682	3601.1	2632.5	3645.2	2097.9	2671.5	1719.3	3121.8	2189.8	2114.4	2453.3	2623.1	2314	2138.3	1507.3	2463.7	2249.9	1653.7	1790.3	2148.9
5807-77	CD70	P32970	CD70	527.9	571.4	1179.1	480.1	755.2	516.2	454.8	665.6	458.8	427.1	708.3	362	438.9	535.6	346.1	860.3	368.5	372.7	494.8	334.3	381.9	417.1	663.7	379	543.4	547.6	651.3	484.6	435.4	459.2	374.9	670	410.9	690.7	427	672.9	434.7	477.7	603.4	522.5
5810-25	Cripto	P13385	TDGF1	333.7	1723.9	2191.3	549.7	1799.3	1545	389.3	2138.5	1845.1	1648.5	372.6	365.3	276.6	364.2	1525	1840.4	333	2192.7	1552.1	433.1	334.8	389.8	2334.3	360.6	316	481.7	2762.6	382.7	424.2	351.3	417.7	340.9	359	693.2	1770	1934.7	493.4	462.3	4254.9	392.4
5813-58	Epo	P01588	EPO	567.9	616.1	913.1	508.5	916.7	483.1	917.4	1811.3	555.8	533.1	608.9	500.4	587.8	522.3	663.8	1119.7	769.1	731.6	540.7	572.2	731.5	565.8	884.6	890	520.2	805	629.9	635.8	602.6	595.4	564.7	874.9	702.7	754	673.7	763.4	834.3	640.6	635.3	575.5
5822-22	GDNF	P39905	GDNF	423.2	437.9	738	384.2	460.6	464.9	349.5	471.7	392.2	310.2	543.3	305.8	411.1	373.8	296.7	652.7	323.1	305	381.2	297.1	318.8	349.8	442.3	338.9	351.5	400.4	515.3	389.2	309.5	379	331.2	346.9	362.2	544.1	309.9	457.9	332.1	361.3	468	393.8
5825-49	IFN-g R1	P15260	IFNGR1	478.4	489.4	658.2	1671.3	603	530.9	492.9	540.2	453.7	457.1	512.6	449.8	448	495.9	423.9	810.2	441	603.4	502.9	412.8	460.7	486.8	555.6	539.7	470.1	647.2	577.1	494.8	453.8	662.4	424.5	542.8	529.9	637.3	667.6	660.1	518.5	606.9	652.3	469.8
5834-18	IL-9	P15248	IL9	247.7	319.8	548.8	251.7	304.1	312	225.9	342.7	229.1	226	345.8	213.3	226.9	292	219.5	390	209.1	308.5	274	242.9	233.8	226.5	281.1	219.8	245.9	304.1	402.2	261.8	297.2	231.7	248.3	214	235.6	347.3	194.3	363.8	197.7	235.9	315.9	262.5
5837-49	LIF sR	P42702	LIFR	2562.2	2929.2	3489.2	2677.8	3346.6	2505.8	2538.5	2455.4	2682.2	2725.1	2237.6	2026.2	2616.3	2910.3	2324.2	3001.5	2525.2	2274.6	2343.8	2778.1	2880.8	2070.7	3426.6	2086.4	2861.5	2921.8	2457.9	2448.1	2263	2883.7	2523.6	2839.4	2943.7	3170.9	2639	2841.2	2861.8	2301.5	3458.1	3040.8
5843-60	NG36	Q96KQ7	EHMT2	1343.8	1879.2	3984.9	1859.3	1715.3	2414.7	1990.7	2318.8	1852.2	2252.5	1704.6	1710.8	2091.1	2978.3	2293.4	2212.5	1284.3	2032.3	1799.1	1833.8	1398	2017.2	2262.7	1221.4	1380.3	2522.7	2153.2	1888.9	1722.5	2015.7	1172.2	1627.5	1765.7	1921.5	3158.3	2530.7	1902.8	1572.5	3623.6	2242.9
5852-6	S100A12	P80511	S100A12	15866.9	13215.8	19313.2	14017.8	8420.9	5370.6	2744.9	3362.8	5780.5	5217.3	7158.1	3016.7	7134.2	4281	5154.9	8404.1	2162.1	2696.9	8151.5	2405.8	3940.7	3990.3	9047.6	4253.9	3036.6	4941.3	10864.6	6359.4	4299	3829.9	5507.5	5456.7	6339.4	4473.2	15366.5	4660	3933.6	4429.7	3388.1	7745.4
5854-60	tau	P10636	MAPT	213.8	221.2	497.9	211.1	234.1	245.3	166.9	301.5	195.4	181.6	342.4	184.6	185.1	195.4	158.1	354.4	246.6	238.7	225.5	141	184.3	205.7	226.7	185.5	235.9	279.6	324.4	439.6	160.5	182.6	191.7	189.9	222.5	307.5	142.3	360.5	173.9	171.4	285.7	211.3
5858-6	14-3-3 protein zeta/delta	P63104	YWHAZ	57562.9	43603.2	49882	65672.7	53602.3	75215.9	61351.1	108107.1	110163.8	107316.7	117619.6	106721.7	84163.8	89009.1	36397.2	63609.2	113507.2	103594.1	133191.3	86475.9	78127.8	59404.3	31088.8	31197.3	76924.8	109042.4	73032.4	179146.1	79432.6	63722.9	77836.1	36769.3	79048.5	79213.8	29445.3	138339.9	31153.7	82439.7	101759.5	55842.9
5861-78	3HAO	P46952	HAAO	4202.5	7075.2	8072.3	6648.4	7153	5530.2	13333.4	3648.8	8987.9	7317.7	6832.3	4366.5	8387.3	3752.8	4266.9	9332.1	4645.9	8453.9	6754.3	4933.9	4365.6	5841.8	5355.2	5824.8	8024.5	7249.7	5751.1	8638.8	5635.2	5163.7	5947.8	4398.6	4576.4	6914.4	3189.3	6240.8	4726.7	7656.9	5650.6	6000.3
5864-10	aldolase A	P04075	ALDOA	547.5	545.4	590.7	683	725	779.5	841.6	720.4	769.4	1015.8	1151.7	821.8	755.5	866.1	606.3	637.4	855.3	911.4	1301.3	694.9	673.1	661.2	1007.5	467	522.6	924.8	802.3	1638.4	726.2	1107.5	666.2	506.4	715.2	721.4	519.1	1119.4	511	668	973	904.6
5867-60	ARGI1	P05089	ARG1	6930.9	4478.9	10089.5	5196.8	3779.3	4697.9	1894.2	1898	2299.8	2637.8	4033	1855.8	2330.9	1941.5	2357.2	3709	1324.4	1434.4	2985.5	1535.5	1505.4	4031.3	3896.5	1682.3	1741.6	2665.5	6376.9	3218.5	2253.6	2956.9	4150.6	2377.5	2705.2	2067.6	6746.2	2448.1	3018.2	2031.9	2656.8	2765.4
5870-23	BAD	Q92934	BAD	3984	3438.4	3991.2	3820.3	3894	5620.5	3412.3	4564.4	5302.4	4696.2	8918	4399.1	3713.5	3902.8	2159.3	4283.5	5485.4	4611.5	6898.9	3114	3245.9	3216.8	2792.9	2022.5	2686.4	4908.7	6745.6	9412.1	3210.9	3838.7	3915.9	2796.7	3766	4183	3584.1	6119.3	2570.9	4069.1	6749.8	4597
5879-51	Dynactin subunit 2	Q13561	DCTN2	1678.1	1598	1588.8	1687.2	1535.7	1338.8	1205.5	1308.5	1435.5	1316	1489.7	1217.3	1432	1425	1170.4	1912.9	1062.9	1062	1367.9	1074.5	1563.8	1423.3	1496.6	1357.5	1252.7	1734.8	1370.2	1569.7	1590.6	1351.1	1524.2	1387.5	1691.5	1676.4	1298.2	1780.2	1235.3	1454.9	1609.3	1703.9
5882-34	EF-1-beta	P24534	EEF1B2	308.3	279.3	484.3	303.2	331.5	406	303.1	334.2	327.8	272.9	550.6	287.6	305.5	303.4	205	369.5	308.4	335.9	377.1	223.4	254.7	254	269.8	233.6	234.5	344.4	491.1	999.8	253.6	288.7	274.3	270.1	315.8	339	274.6	356.3	220.4	269.8	394.3	308.4
5885-55	eIF-4H	Q15056	EIF4H	7790.4	5939.6	7561.3	8073.4	4620.3	5747.5	4388.5	9920.6	9339.1	10736.6	19256.5	10642	6277.1	7342	4284.7	18682.8	12589.4	10279.4	19427	6346.8	6029.7	4066.3	2482	2738.5	5712	8425.5	9271.3	20876.8	7470.5	5836.6	8279.4	3621.1	8047.3	7845.1	4034.7	13171.3	3084.7	7522.3	11448.9	6716.5
5888-29	eIF-5A-1	P63241	EIF5A	10602.8	9007	14895.6	10251.8	9787.2	16218.6	8035.1	13069	13337.2	11632.2	20028.5	11342.8	8240.5	9369.1	5694.7	12944.4	13019.1	10300.8	17721.9	8011.7	7807.8	7219	7065	5698.1	7242.6	12808.4	17104.4	21376.7	8655.1	10465.7	9784.2	5969	9433.8	10788.3	8301.9	16759.3	5705.3	10200.4	15874.8	9495.6
5897-58	Gastrin-releasing peptide	P07492	GRP	570.6	359.8	718.1	256.4	332.2	344.7	237.4	451.3	284.9	235.8	485.9	271.4	261.7	323.2	236.9	544.9	246.1	287.5	318.8	227.8	280.5	310	293.4	234.8	311.6	330.4	475.3	267.9	232.4	273.1	234.5	248.8	236.5	461.6	204	424.4	311.2	243.5	393.8	317.4
5900-11	HINT1	P49773	HINT1	1389.7	1377.3	1873.2	1367	1326.1	1735.1	1066.6	1387.6	1343.1	1552.3	2168.2	1195.8	1188.8	1173.1	982.5	1887.6	1102.2	1027.3	1511.5	1083.1	1007.5	1077.6	1094.4	919.8	950.9	1939.5	2067.6	1893.4	1150	1179.6	1301.8	1349.6	1342.3	1408	1540.6	1656.3	1043.6	1190.8	2178.9	1857.2
5903-91	HSP70 protein 8	P11142	HSPA8	2826.4	2817.6	2951.7	3471.4	3040.8	3563	2484	2258.5	2215.1	2484.2	4084.5	2221.9	4856.5	2746.2	1909.1	3629.8	2417.4	2454.9	2780.7	2230	2640.8	3162.8	2555.4	3142.2	1756.5	3130.5	3260.1	3524.9	2612.3	3094.9	2937	2784.5	3205.5	3192.9	2304.8	2909.3	2010.8	3428.2	2799	3936
5909-51	Nucleoside diphosphate kinase A	P15531	NME1	2865	4163.7	4349.4	2899	2366.3	2977.6	2514.3	2803.2	4398.4	2505.3	3755.9	3340.7	2669.5	2317.6	1749.8	4307.7	2140	2275.8	2840.9	1618.6	2174.8	2258	1890.6	1446.7	2609.1	2537.5	4532	2977.6	2035.1	2027.7	6886.7	2106.7	2456.6	3982.3	1511.1	4254.6	1806.9	1974.9	3086.7	2347.2
5915-58	PEX5	P50542	PEX5	220.6	217.4	369.3	211.7	262.5	221.6	212.5	238.3	219.9	198.2	275.4	249	279.5	229.1	171.2	347.1	181.1	186.8	215.9	206.1	189.2	219.1	239.9	219.6	198.8	257.3	259.6	200	179.5	213.4	184.9	235.6	193.1	269.7	164.3	272.2	211.5	279	241.2	218.4
5918-5	PSME1	Q06323	PSME1	876.8	824.9	925.6	763	882.9	1112.4	688.5	704.5	855.1	823.2	1636.1	657	790.1	808.2	587	1955.8	637.3	641.8	983.1	597.2	723.7	995	684.7	649.5	613.2	1027	1295.7	1261.6	820.8	821.8	825.8	748.8	921.1	838.8	616.4	1049.8	593.4	754.9	985.2	858.5
5927-4	WISP-3	O95389	WISP3	983.9	991.3	2110.9	1094.6	1276.4	998.5	870.5	1260.7	950.7	795	1343.6	691.1	814.3	1055.6	589.5	2015.2	803.9	928.7	1174.7	621	613.5	723.5	1433	680.9	770.1	1006.6	1139.2	948.4	922.6	900.6	699.3	831.3	866.3	1284.6	869.9	1299.2	872.2	873.8	1233.9	1020.5
5934-1	Ferritin	P02794 P02792	FTH1 FTL	2158.2	7865.1	599	6414.8	8364.2	4827.9	3781.1	499.9	4338.6	2067.8	5085.7	2648.8	9123.4	2388.7	1979.4	4953.8	1139.3	636.4	2374.2	1101.9	2091.2	1351.3	1501.1	2359.5	3606.5	3322.6	1978.3	5272.8	5388.9	4303.7	4598.8	1189.8	2868.1	7148.2	3303.6	3161.6	3004.2	1938.9	3352.2	4745
5936-53	TNF-a	P01375	TNF	604.3	594.8	1123.8	573.8	608.1	596.8	476.5	718.9	513.2	449.5	744.7	499.2	501.4	711.2	386.6	865.1	461.6	424	634.8	376.6	467.9	489.2	603.6	477.5	581.7	595.6	727.8	495.2	460	492.8	438.9	462.9	462.4	729.1	419.6	681.6	482.2	515.4	630.8	548.7
5939-42	TWEAK	O43508	TNFSF12	1094.8	1481.3	2438	1070.6	1210.7	1075.2	811.5	1616.2	977.8	1086.9	1572.1	1185.5	1037.1	1179.8	1036.7	1416.7	907.2	957.6	1228.1	953.7	1083.9	1206.4	1179.8	702.9	1073.9	1111.9	1555	1001.4	1056.5	1115.4	971.6	1036.6	1002.2	1421.5	815.5	1456.8	752.4	883.1	1957.1	1347.8
5947-90	Tpo	P40225	THPO	179.5	178.1	253.1	164.4	335.5	179	168.4	271.8	219.9	208.3	281.9	214.4	213.8	209.5	165	644.9	254.3	193.6	271	163	207.8	219.4	173.5	141.2	209.8	366.8	262.9	273.6	159.9	245.5	179.7	194.2	156.5	282.7	131.2	283.6	222.8	187.2	305.6	209.5
5954-62	PTH	P01270	PTH	855.7	1885.1	1526.4	1495.7	1182.6	909.4	1615.8	1322	1665	1480.9	1059.3	621.4	1400.8	1137.8	1002.6	1686.6	787	709.6	1486.5	1369.3	1789.7	815.4	1661.4	1084	2349.8	1407.1	1192.3	1155.2	1156.6	1192.7	1171.2	2058.9	1209.9	1322.8	1489.2	1357.4	1040.8	1295	1121.1	988
5957-30	Somatostatin-28	P61278	SST	844.7	950.3	1367.3	822.5	647.4	887.9	811	821	689.1	684.5	843	681.6	771.2	618.9	480.3	952.6	703.8	584	759.4	476.8	515.8	818.2	829.9	677.4	868.9	902.9	971.7	678.3	705.8	760.7	582.5	843.2	716.7	1049.7	579	1101.2	754.8	703	864.8	885.8
5960-49	Fc_MOUSE	Q99LC4		43804.7	20228.9	24342	22808.1	16868.9	23459.3	23006.9	22524.3	16076.9	12943.2	18106.4	12594	17974.5	22185.6	18112.4	30809.6	20084.1	34025.5	23379.9	21272.7	21689.9	26169.6	22864.8	27075.1	16887.7	22886.3	17663.4	17674.1	17404.6	24690.7	23136.6	28188.7	24081.3	27833.5	10984.6	26350.1	22933.1	15506.3	17256.4	27512.6
5963-9	Dermokine	Q6E0U4	DMKN	1255.6	1323.9	1988.2	1420.2	956.6	1504.1	1126.9	1346.9	1142.4	1407.7	3158.3	1034.9	1134.5	1465.5	1468.1	6069	1164.8	1153.2	1491.6	1157	1109.7	1110.4	1349.1	1084.2	1016.8	1343.8	2575.6	1427.1	1216.4	1228.1	1201.2	1218.2	1140.6	1287.7	1242.4	1686.3	1153.8	1070.8	1542.7	1225.1
5980-55	BOLA3	Q53S33	BOLA3	1111.6	995.8	1734.1	1317.3	25605.8	1260.5	1172.4	2060.4	2177.6	1994.1	2430.1	1279.3	2259.9	1725.4	748.7	2327.3	1668.4	1807	2626.6	1155.1	1094.1	1070.4	1039.3	699.2	1088.4	1658.1	1653.5	3646.8	1012.7	1170.4	1050.7	749	1197.5	1764.7	805.1	2398	884.5	1375.6	2557.7	1262.8
5981-6	ES1	P30042	C21orf33	398.8	329.2	697.4	356.4	448.8	299.3	306.1	400.3	300.6	257.9	422.9	197	279	330.8	202.9	582.3	216.2	220.5	507.4	191.7	204.4	249.6	535.4	227.6	248.7	324.6	352.1	289.1	303	275	200.3	215.9	271.1	400.3	321.7	391.2	320.7	293.1	368.7	332.2
5988-49	LIGHT	O43557	TNFSF14	1642.2	1513.7	3241.7	1489.5	2061.5	1321	1745.3	2018.3	1502.7	1164.4	2607.3	776.9	1008.2	1456.1	1104	4494.6	1028.8	916.2	1486.4	821.8	862.8	950.5	2472.4	1016.4	1163.7	1407.7	1737.3	1180.5	1220.6	1283.1	954	837.8	1036.6	1773.1	1287.9	1642.9	1625.4	1362	1570.6	1573.4
6020-52	Urotensin-II	O95399	UTS2	10590.8	8369.1	19500.1	10728.6	14676.5	8055.3	10033.9	11110.4	8539.7	6862.6	11091.1	4820.3	6790	8416.5	5191.1	14677.5	6420.2	5174.6	9655	4795.8	4851.6	6409.7	15450.5	5962	6547.7	8779.1	7378.4	7308.7	10320.5	8523	5388	4238	6981.4	9998.8	9827.3	10190.4	9386.2	8439	9915.1	9618.1
6022-57	NELL2	Q99435	NELL2	1250.4	994.3	1371.7	1093.9	1119.2	1007	1092.1	1159.1	993.9	1192.6	970.7	970.8	1017.5	1211.3	1027.1	1086	804.5	1225.1	966.5	904.7	1181.8	1310.9	1134	1271.1	1111.1	1623.9	1519.8	913.5	1034.8	1243.6	1011.7	1004.4	1218.3	1281.6	1223.3	1446.8	948.1	1431.4	1329.8	1210.5
6027-31	REL3	Q8WXF3	RLN3	930	959.2	1815.9	876	923.3	957	786.1	1065.2	829.1	703.3	2003.1	610.7	731.9	1557.7	760.6	3561.2	611.3	569.5	919.1	477.7	597.9	1136.1	1004.4	640.8	764.1	835.3	1566.3	829.6	656.9	850.2	741.8	886.6	635.1	921.2	636.8	987.1	818.9	678	901.6	918.1
6035-2	SIAT1	P15907	ST6GAL1	589.3	608.9	1023.1	617.3	607.8	688.8	544.8	675.6	965.6	506	882.3	491.3	628.3	570.1	420.4	993.8	502.9	587.5	604.4	411.1	485.4	563.4	576.9	530.3	536.1	647.6	859.7	649.4	479.6	564.4	498.5	572.4	495.2	725.2	438.2	702.2	473.9	540	664	589.3
6036-78	Deprecated			1223.5	1270.4	1580.2	1404.1	4490.6	1384.6	864.4	1132.6	1040.8	1036.3	1614.4	905.6	1399.5	1174.2	1036.4	1903	1456.4	891.2	1042.8	893.3	1171.9	991.3	1420.6	1461.7	829.4	1600.3	2066.1	1628	1308.4	1341	2159.5	1056.2	1234.5	1389.4	1029.3	1487.5	1001.1	1210.5	1357.4	1258.6
6037-6	Fc_MOUSE	Q99LC4		284.9	323.6	658.8	293	398.3	266.8	282.3	417.5	268.6	269.1	381.8	200.2	264.8	367.9	202.6	529.3	232.5	363.2	254	237	196	236.4	439	269.9	254.4	290.5	332	251.1	252.8	278.1	230.8	265.8	315.9	393.6	279.5	337.9	308.3	300.1	380.7	309.7
6039-24	CRHBP	P24387	CRHBP	3675.3	3442.7	3639.3	4054.1	4130.2	3910.3	2974.7	3573.3	3398.7	3542.4	3164.6	2774.9	3635.1	3710.3	3709.7	3549.7	2986.9	2874.4	4449.1	3880.2	4237.7	2914.1	3350.9	4794.5	3494.5	5537.2	3351	3783.4	3722.3	3084.3	3236.4	2434.7	3509	4919.3	2777.2	3858.5	3796.7	5964.7	2958	3237.7
6042-52	Tenascin	P24821	TNC	25100.8	20365.5	37216.4	25890.9	22253.3	19852.3	19355.5	21384.5	19655.3	27714	22759.3	22974.8	18964.2	30024.4	16758	20603.3	21751.3	19740.1	20973.8	23904.9	16252.4	22210.2	33233.4	20326.1	20447.6	25880.3	19720.2	22228	17582.8	25287.3	26281.9	22008.5	23003.3	23900.7	23083.1	26807.5	27001.9	24718.3	26183.3	27315.8
6048-4	Fc_MOUSE	Q99LC4		329	746.9	670.1	592.5	532.8	614.6	304.4	402.2	276.4	707.6	458.9	252	293.2	366.4	249.4	553.5	248.9	241.1	312.9	232.2	244.3	287.9	463.8	248	278.8	317.3	371.5	314.6	268.4	325.6	292	1758.1	453.4	394.6	267.3	375.2	291	332.3	380.4	326
6049-64	PTPRS	Q13332	PTPRS	42529.7	41146.8	47196.7	41837.2	51335.9	41643.9	41026.1	52599.9	52457.7	45476.6	37528.6	40491.7	39087.2	46003.1	36614.3	36578.7	28491.4	35800.9	34639.5	35629.3	49583.1	42167.5	47871.2	40578.8	39505.7	46132.3	49200	48736.2	47975.6	42991.8	41776.7	41308	48733.5	34487.6	45975.6	44717.6	34343.7	52210.4	45254.4	50087.5
6054-6	NXPH3	O95157	NXPH3	2761.9	2647.7	3506.9	2618.6	3137.6	2400.7	2507.2	2268.3	2201.3	2130.5	3259.8	1899.2	2758	2640.9	1752.4	4090.1	2605.5	2102.7	2609.5	1642	2197	2879.3	2745.2	2547.3	1962.9	3035.6	3143.7	2593.6	2519.9	2726.4	2224.5	1823.1	1983.2	3379.6	1804.6	2924.2	2144.3	2163	2693.1	2526.6
6060-2	PIP	P12273	PIP	19485.5	6204	4392.2	5128.9	2131.7	4996.6	9762.1	1935.5	4010.5	10542.8	2883.3	3603.5	19175.3	7343.8	3706.6	2931.8	2627	4620.7	3121.7	2904	5185.2	6699.5	4130.2	2857.7	3210	9084.9	2650.3	8961	2070.1	3321.7	4830.3	6421.5	7375.3	4493.2	2422.4	6528.2	3406.4	10384.3	3563.5	13406.7
6064-4	TXNDC4	Q9BS26	ERP44	7887.8	9104.6	17730.3	3026.6	6508.9	10240.6	6549.8	16525.2	8035.6	4653.8	12672.1	7554.3	7058.3	7452.1	5448.8	12863.5	6169.2	3472.1	8402.2	2897.6	9343.4	7939.6	7488.6	4005.5	9165	9739.8	18977	5686.7	5704.4	5533.1	3879.4	4084.3	4746	15644	3249.7	13368.4	7143.1	5695.1	12783.4	9858.6
6069-71	SUMF2	Q8NBJ7	SUMF2	3907.4	4467.6	5040.8	4615.9	4533.8	4658.5	3758.5	3609.5	3448.4	3809.5	4697.2	3305.9	4076.9	4361.3	3238.1	6315.1	3338.4	3481.4	3893.3	3605.3	3967	4630.1	4577.2	4009.2	3098.4	4662.2	4532.1	4183.7	4089.9	4766.3	4395.2	4244.6	4716.1	4519.4	3717.4	4429.8	3653.8	5062.5	4075.4	5301.5
